,,,By Feature/Component/API,,,,,,Estimate Duration Units,,Hours,,,6,hrs/day,,,,,,,,,
,,,,,,,,,,,,,,131,,,TOTAL HOURS:,,,,162,#REF!,#REF!,#REF!
ID,IN/OUT,Category,Feature/Task,Dep,Phase,WorkType,Resource Type,Description,Assumptions/Questions,Alloc.,Opt,Likely,Pess,PERT,VAR,STD DEV,99%,,Optimistic,Likely,PERT 99%,Likely,PERT 99%,0%
1,TRUE,Research & Design,Research & Design,,,,,,,,,,,,Feature Effort,,16 Hours,,,,,,,
1,TRUE,Research & Design,"Finalize Keka integration design (API usage, authentication, ingestion flow)",,,,,,,1.0,1.0,2.0,2.0,1.83,0.03,0.17,3,,1.0,2,3,#REF!,#REF!,#REF!
1,TRUE,Research & Design,Design document processing and OCR workflow for PDFs and scanned receipts ,,,,,,,1.0,1,2,2,1.83,0.03,0.17,3,,1,2,3,#REF!,#REF!,#REF!
1,TRUE,Research & Design," Define AI-based validation and rule engine structure (YAML policies, confidence thresholds, manual review routing).",,,,,,,1.0,1,1,1,1.00,0.00,0.00,1,,1,1,1,#REF!,#REF!,#REF!
1,TRUE,Research & Design,"Design pipeline orchestration and trigger mechanisms (S3 events, Step Functions flow, retries, idempotency).",,,,,,,1.0,2,2,2,2.00,0.00,0.00,2,,2,2,2,#REF!,#REF!,#REF!
1,TRUE,Research & Design,"Define scheduling strategy (office hours, upload window coverage, reporting interval)",,,,,,,1.0,1,2,2,1.83,0.03,0.17,3,,1,2,3,#REF!,#REF!,#REF!
1,TRUE,Research & Design,Design validation trigger mechanism (event-driven from processing),,,,,,,1.0,2,3,4,3.00,0.11,0.33,4,,2,3,4,#REF!,#REF!,#REF!
2,TRUE,Research & Design,IAC,,,,,,,,,,,,Feature Effort,,6 Hours,,,,,,,
2,TRUE,Research & Design,"Remote state setup (S3 + DynamoDB lock)
",,,,,,,1.0,1.0,1.0,2.0,1.17,0.03,0.17,2,,1.0,1,2,#REF!,#REF!,#REF!
2,TRUE,Research & Design,"IAM roles & policies (Lambda, Step Functions, Glue, S3, Keka API)
",,,,,,,1.0,1,1,2,1.17,0.03,0.17,2,,1,1,2,#REF!,#REF!,#REF!
2,TRUE,Research & Design,"Environment separation (dev/prod variables)
",,,,,,,1.0,1,1,2,1.17,0.03,0.17,2,,1,1,2,#REF!,#REF!,#REF!
3,TRUE,Research & Design,Keka API Integration & Ingestion Pipeline,,,,,,,,,,,,Feature Effort,,24 Hours,,,,,,,
3,TRUE,Research & Design,"Keka API auth setup (OAuth/API keys)
",,,,,,,1.0,1,2,3,2.00,0.11,0.33,3,,1,2,3,#REF!,#REF!,#REF!
3,TRUE,Research & Design,"Fetch employees API integration
",,,,,,,1.0,2,2,3,2.17,0.03,0.17,3,,2,2,3,#REF!,#REF!,#REF!
3,TRUE,Research & Design,"Fetch monthly expense claims API integration
",,,,,,,1.0,2,2,3,2.17,0.03,0.17,3,,2,2,3,#REF!,#REF!,#REF!
3,TRUE,Research & Design,"Fetch claim attachments API integration
",,,,,,,1.0,2,3,4,3.00,0.11,0.33,4,,2,3,4,#REF!,#REF!,#REF!
3,TRUE,Research & Design,"Lambda to download PDFs from Keka
",,,,,,,1.0,2,2,3,2.17,0.03,0.17,3,,2,2,3,#REF!,#REF!,#REF!
3,TRUE,Research & Design,"Store PDFs in partitioned S3 path (YYYY/MM/employee)
",,,,,,,1.0,2,2,2,2.00,0.00,0.00,2,,2,2,2,#REF!,#REF!,#REF!
3,TRUE,Research & Design,"Idempotency, incremental pull & date-range handling (1st–5th next month window)",,,,,,,1.0,1,2,3,2.00,0.11,0.33,3,,1,2,3,,,
3,TRUE,Research & Design,"Ingestion metrics logging
",,,,,,,1.0,1,2,3,2.00,0.11,0.33,3,,1,2,3,,,
3,TRUE,Research & Design,Document Processing & OCR,,,,,,,,,,,,Feature Effort,,33 Hours,,,,,,,
3,TRUE,Research & Design,"Trigger pipeline on S3 upload (Step Functions)
",,,,,,,1.0,2.0,2.0,3.0,2.17,0.03,0.17,3,,2.0,2,3,#REF!,#REF!,#REF!
